origin,target,progress,spread,nearest,second,origin_score,target_score,landmark_count,volume_geometry_match,product_geometry_match
01 個人主餐,02 飯麵類,0.25,0.02,01 個人主餐,02 飯麵類,0.8122,0.4366,2,True,True
01 個人主餐,02 飯麵類,0.25,0.58,01 個人主餐,02 飯麵類,0.8122,0.4366,2,True,True
01 個人主餐,02 飯麵類,0.25,1,01 個人主餐,02 飯麵類,0.8122,0.4366,2,True,True
01 個人主餐,02 飯麵類,0.5,0.02,01 個人主餐,02 飯麵類,0.6244,0.6244,2,True,True
01 個人主餐,02 飯麵類,0.5,0.58,01 個人主餐,02 飯麵類,0.6244,0.6244,2,True,True
01 個人主餐,02 飯麵類,0.5,1,01 個人主餐,02 飯麵類,0.6244,0.6244,2,True,True
01 個人主餐,02 飯麵類,0.75,0.02,02 飯麵類,01 個人主餐,0.4366,0.8122,2,True,True
01 個人主餐,02 飯麵類,0.75,0.58,02 飯麵類,01 個人主餐,0.4366,0.8122,2,True,True
01 個人主餐,02 飯麵類,0.75,1,02 飯麵類,01 個人主餐,0.4366,0.8122,2,True,True
02 飯麵類,03 分享料理,0.25,0.02,02 飯麵類,03 分享料理,0.8201,0.4602,2,True,True
02 飯麵類,03 分享料理,0.25,0.58,02 飯麵類,03 分享料理,0.8201,0.4602,2,True,True
02 飯麵類,03 分享料理,0.25,1,02 飯麵類,03 分享料理,0.8201,0.4602,2,True,True
02 飯麵類,03 分享料理,0.5,0.02,02 飯麵類,03 分享料理,0.6401,0.6401,2,True,True
02 飯麵類,03 分享料理,0.5,0.58,02 飯麵類,03 分享料理,0.6401,0.6401,2,True,True
02 飯麵類,03 分享料理,0.5,1,02 飯麵類,03 分享料理,0.6401,0.6401,2,True,True
02 飯麵類,03 分享料理,0.75,0.02,03 分享料理,02 飯麵類,0.4602,0.8201,2,True,True
02 飯麵類,03 分享料理,0.75,0.58,03 分享料理,02 飯麵類,0.4602,0.8201,2,True,True
02 飯麵類,03 分享料理,0.75,1,03 分享料理,02 飯麵類,0.4602,0.8201,2,True,True
03 分享料理,06 甜點,0.25,0.02,03 分享料理,06 甜點,0.8322,0.4966,2,True,True
03 分享料理,06 甜點,0.25,0.58,03 分享料理,06 甜點,0.8322,0.4966,2,True,True
03 分享料理,06 甜點,0.25,1,03 分享料理,06 甜點,0.8322,0.4966,2,True,True
03 分享料理,06 甜點,0.5,0.02,03 分享料理,06 甜點,0.6644,0.6644,2,True,True
03 分享料理,06 甜點,0.5,0.58,03 分享料理,06 甜點,0.6644,0.6644,2,True,True
03 分享料理,06 甜點,0.5,1,03 分享料理,06 甜點,0.6644,0.6644,2,True,True
03 分享料理,06 甜點,0.75,0.02,06 甜點,03 分享料理,0.4966,0.8322,2,True,True
03 分享料理,06 甜點,0.75,0.58,06 甜點,03 分享料理,0.4966,0.8322,2,True,True
03 分享料理,06 甜點,0.75,1,06 甜點,03 分享料理,0.4966,0.8322,2,True,True
06 甜點,05 飲料,0.25,0.02,06 甜點,05 飲料,0.8265,0.4795,2,True,True
06 甜點,05 飲料,0.25,0.58,06 甜點,05 飲料,0.8265,0.4795,2,True,True
06 甜點,05 飲料,0.25,1,06 甜點,05 飲料,0.8265,0.4795,2,True,True
06 甜點,05 飲料,0.5,0.02,05 飲料,06 甜點,0.653,0.653,2,True,True
06 甜點,05 飲料,0.5,0.58,05 飲料,06 甜點,0.653,0.653,2,True,True
06 甜點,05 飲料,0.5,1,05 飲料,06 甜點,0.653,0.653,2,True,True
06 甜點,05 飲料,0.75,0.02,05 飲料,06 甜點,0.4795,0.8265,2,True,True
06 甜點,05 飲料,0.75,0.58,05 飲料,06 甜點,0.4795,0.8265,2,True,True
06 甜點,05 飲料,0.75,1,05 飲料,06 甜點,0.4795,0.8265,2,True,True
05 飲料,04 小食,0.25,0.02,05 飲料,04 小食,0.8012,0.4035,2,True,True
05 飲料,04 小食,0.25,0.58,05 飲料,04 小食,0.8012,0.4035,2,True,True
05 飲料,04 小食,0.25,1,05 飲料,04 小食,0.8012,0.4035,2,True,True
05 飲料,04 小食,0.5,0.02,04 小食,05 飲料,0.6024,0.6024,2,True,True
05 飲料,04 小食,0.5,0.58,04 小食,05 飲料,0.6024,0.6024,2,True,True
05 飲料,04 小食,0.5,1,04 小食,05 飲料,0.6024,0.6024,2,True,True
05 飲料,04 小食,0.75,0.02,04 小食,05 飲料,0.4035,0.8012,2,True,True
05 飲料,04 小食,0.75,0.58,04 小食,05 飲料,0.4035,0.8012,2,True,True
05 飲料,04 小食,0.75,1,04 小食,05 飲料,0.4035,0.8012,2,True,True
04 小食,01 個人主餐,0.25,0.02,04 小食,01 個人主餐,0.8142,0.4425,2,True,True
04 小食,01 個人主餐,0.25,0.58,04 小食,01 個人主餐,0.8142,0.4425,2,True,True
04 小食,01 個人主餐,0.25,1,04 小食,01 個人主餐,0.8142,0.4425,2,True,True
04 小食,01 個人主餐,0.5,0.02,01 個人主餐,04 小食,0.6283,0.6283,2,True,True
04 小食,01 個人主餐,0.5,0.58,01 個人主餐,04 小食,0.6283,0.6283,2,True,True
04 小食,01 個人主餐,0.5,1,01 個人主餐,04 小食,0.6283,0.6283,2,True,True
04 小食,01 個人主餐,0.75,0.02,01 個人主餐,04 小食,0.4425,0.8142,2,True,True
04 小食,01 個人主餐,0.75,0.58,01 個人主餐,04 小食,0.4425,0.8142,2,True,True
04 小食,01 個人主餐,0.75,1,01 個人主餐,04 小食,0.4425,0.8142,2,True,True
